"";"cut";"color"
"1";"Ideal";"E"
"2";"Premium";"E"
"3";"Good";"E"
"4";"Premium";"I"
"5";"Good";"J"
"6";"Very Good";"J"
"7";"Very Good";"I"
"8";"Very Good";"H"
"9";"Fair";"E"
"10";"Very Good";"H"
"11";"Good";"J"
"12";"Ideal";"J"
"13";"Premium";"F"
"14";"Ideal";"J"
"15";"Premium";"E"
"16";"Premium";"E"
"17";"Ideal";"I"
"18";"Good";"J"
"19";"Good";"J"
"20";"Very Good";"J"
"21";"Good";"I"
"22";"Very Good";"E"
"23";"Very Good";"H"
"24";"Very Good";"J"
"25";"Very Good";"J"
"26";"Very Good";"G"
"27";"Premium";"I"
"28";"Very Good";"J"
"29";"Very Good";"D"
"30";"Very Good";"F"
"31";"Very Good";"F"
"32";"Very Good";"F"
"33";"Very Good";"E"
"34";"Very Good";"E"
"35";"Very Good";"D"
"36";"Good";"F"
"37";"Good";"E"
"38";"Good";"H"
"39";"Very Good";"D"
"40";"Ideal";"I"
"41";"Ideal";"I"
"42";"Ideal";"J"
"43";"Good";"D"
"44";"Good";"D"
"45";"Good";"H"
"46";"Premium";"F"
"47";"Very Good";"H"
"48";"Good";"H"
"49";"Very Good";"E"
"50";"Very Good";"H"
"51";"Very Good";"F"
"52";"Ideal";"G"
"53";"Ideal";"I"
"54";"Premium";"E"
"55";"Premium";"D"
"56";"Ideal";"I"
"57";"Premium";"J"
"58";"Very Good";"I"
"59";"Very Good";"I"
"60";"Good";"I"
"61";"Ideal";"I"
"62";"Premium";"D"
"63";"Ideal";"D"
"64";"Ideal";"D"
"65";"Premium";"I"
"66";"Ideal";"G"
"67";"Ideal";"I"
"68";"Very Good";"G"
"69";"Premium";"G"
"70";"Premium";"E"
"71";"Very Good";"D"
"72";"Very Good";"H"
"73";"Premium";"H"
"74";"Premium";"H"
"75";"Good";"H"
"76";"Very Good";"F"
"77";"Very Good";"E"
"78";"Very Good";"D"
"79";"Very Good";"D"
"80";"Very Good";"E"
"81";"Very Good";"E"
"82";"Very Good";"D"
"83";"Ideal";"E"
"84";"Ideal";"I"
"85";"Good";"E"
"86";"Premium";"G"
"87";"Premium";"H"
"88";"Premium";"H"
"89";"Premium";"H"
"90";"Premium";"I"
"91";"Ideal";"E"
"92";"Fair";"E"
"93";"Ideal";"G"
"94";"Very Good";"E"
"95";"Very Good";"G"
"96";"Good";"E"
"97";"Good";"F"
"98";"Fair";"F"
"99";"Very Good";"E"
"100";"Premium";"H"
"101";"Very Good";"D"
"102";"Premium";"E"
"103";"Ideal";"G"
"104";"Premium";"G"
"105";"Ideal";"I"
"106";"Ideal";"G"
"107";"Premium";"G"
"108";"Ideal";"I"
"109";"Ideal";"F"
"110";"Ideal";"E"
"111";"Ideal";"F"
"112";"Ideal";"E"
"113";"Premium";"I"
"114";"Very Good";"G"
"115";"Ideal";"F"
"116";"Ideal";"F"
"117";"Premium";"F"
"118";"Ideal";"G"
"119";"Ideal";"E"
"120";"Ideal";"F"
"121";"Ideal";"D"
"122";"Ideal";"E"
"123";"Very Good";"F"
"124";"Fair";"F"
"125";"Fair";"F"
"126";"Premium";"F"
"127";"Premium";"H"
"128";"Very Good";"D"
"129";"Fair";"H"
"130";"Fair";"H"
"131";"Ideal";"H"
"132";"Very Good";"D"
"133";"Ideal";"D"
"134";"Very Good";"E"
"135";"Very Good";"H"
"136";"Premium";"E"
"137";"Very Good";"F"
"138";"Premium";"F"
"139";"Ideal";"H"
"140";"Ideal";"G"
"141";"Premium";"G"
"142";"Premium";"G"
"143";"Very Good";"D"
"144";"Very Good";"F"
"145";"Ideal";"D"
"146";"Good";"H"
"147";"Very Good";"G"
"148";"Very Good";"D"
"149";"Very Good";"D"
"150";"Ideal";"E"
"151";"Premium";"D"
"152";"Ideal";"I"
"153";"Premium";"D"
"154";"Premium";"G"
"155";"Very Good";"F"
"156";"Ideal";"D"
"157";"Ideal";"F"
"158";"Premium";"G"
"159";"Premium";"G"
"160";"Ideal";"D"
"161";"Premium";"G"
"162";"Very Good";"H"
"163";"Very Good";"F"
"164";"Ideal";"G"
"165";"Ideal";"F"
"166";"Very Good";"H"
"167";"Very Good";"F"
"168";"Ideal";"G"
"169";"Ideal";"F"
"170";"Good";"E"
"171";"Ideal";"D"
"172";"Premium";"D"
"173";"Very Good";"J"
"174";"Ideal";"E"
"175";"Ideal";"E"
"176";"Good";"I"
"177";"Very Good";"F"
"178";"Very Good";"G"
"179";"Premium";"E"
"180";"Ideal";"E"
"181";"Ideal";"E"
"182";"Ideal";"E"
"183";"Ideal";"G"
"184";"Ideal";"G"
"185";"Good";"G"
"186";"Ideal";"G"
"187";"Very Good";"D"
"188";"Premium";"F"
"189";"Very Good";"F"
"190";"Good";"F"
"191";"Good";"F"
"192";"Ideal";"E"
"193";"Premium";"E"
"194";"Premium";"E"
"195";"Premium";"E"
"196";"Premium";"E"
"197";"Premium";"E"
"198";"Premium";"E"
"199";"Ideal";"E"
"200";"Premium";"F"
"201";"Very Good";"E"
"202";"Premium";"E"
"203";"Premium";"E"
"204";"Good";"E"
"205";"Fair";"H"
"206";"Premium";"F"
"207";"Very Good";"E"
"208";"Ideal";"F"
"209";"Very Good";"H"
"210";"Ideal";"E"
"211";"Very Good";"F"
"212";"Premium";"G"
"213";"Ideal";"F"
"214";"Ideal";"G"
"215";"Ideal";"G"
"216";"Premium";"F"
"217";"Ideal";"H"
"218";"Ideal";"H"
"219";"Very Good";"H"
"220";"Very Good";"D"
"221";"Ideal";"G"
"222";"Good";"E"
"223";"Premium";"E"
"224";"Very Good";"D"
"225";"Ideal";"D"
"226";"Premium";"D"
"227";"Premium";"D"
"228";"Fair";"G"
"229";"Premium";"F"
"230";"Ideal";"F"
"231";"Very Good";"F"
"232";"Very Good";"H"
"233";"Very Good";"F"
"234";"Ideal";"F"
"235";"Ideal";"D"
"236";"Very Good";"H"
"237";"Very Good";"I"
"238";"Ideal";"I"
"239";"Good";"D"
"240";"Good";"G"
"241";"Ideal";"F"
"242";"Fair";"E"
"243";"Premium";"H"
"244";"Good";"F"
"245";"Good";"E"
"246";"Premium";"E"
"247";"Premium";"E"
"248";"Very Good";"J"
"249";"Ideal";"G"
"250";"Ideal";"E"
"251";"Ideal";"G"
"252";"Good";"G"
"253";"Premium";"E"
"254";"Premium";"E"
"255";"Premium";"H"
"256";"Fair";"J"
"257";"Ideal";"G"
"258";"Premium";"I"
"259";"Ideal";"F"
"260";"Premium";"F"
"261";"Premium";"F"
"262";"Very Good";"I"
"263";"Ideal";"E"
"264";"Premium";"E"
"265";"Premium";"E"
"266";"Ideal";"E"
"267";"Premium";"F"
"268";"Premium";"F"
"269";"Premium";"H"
"270";"Ideal";"F"
"271";"Very Good";"G"
"272";"Very Good";"E"
"273";"Good";"E"
"274";"Ideal";"I"
"275";"Ideal";"H"
"276";"Very Good";"E"
"277";"Very Good";"E"
"278";"Premium";"I"
"279";"Ideal";"F"
"280";"Good";"F"
"281";"Premium";"D"
"282";"Premium";"I"
"283";"Premium";"H"
"284";"Premium";"G"
"285";"Premium";"I"
"286";"Good";"E"
"287";"Very Good";"H"
"288";"Very Good";"E"
"289";"Premium";"D"
"290";"Premium";"D"
"291";"Premium";"D"
"292";"Ideal";"F"
"293";"Ideal";"D"
"294";"Ideal";"G"
"295";"Ideal";"H"
"296";"Ideal";"H"
"297";"Fair";"G"
"298";"Premium";"F"
"299";"Fair";"E"
"300";"Very Good";"H"
"301";"Ideal";"I"
"302";"Very Good";"E"
"303";"Ideal";"F"
"304";"Ideal";"D"
"305";"Very Good";"G"
"306";"Good";"I"
"307";"Premium";"E"
"308";"Very Good";"I"
"309";"Ideal";"G"
"310";"Ideal";"G"
"311";"Very Good";"H"
"312";"Premium";"G"
"313";"Ideal";"I"
"314";"Ideal";"G"
"315";"Fair";"G"
"316";"Ideal";"F"
"317";"Ideal";"F"
"318";"Premium";"F"
"319";"Ideal";"H"
"320";"Premium";"F"
"321";"Good";"F"
"322";"Good";"F"
"323";"Premium";"F"
"324";"Premium";"G"
"325";"Premium";"J"
"326";"Very Good";"G"
"327";"Ideal";"F"
"328";"Premium";"E"
"329";"Premium";"F"
"330";"Very Good";"F"
